BBG004730N88;1683571920;238.320000000;238.330000000;238.330000000;238.260000000;2360
BBG004730N88;1683571980;238.330000000;238.330000000;238.330000000;238.310000000;452
BBG004730N88;1683572040;238.330000000;238.310000000;238.330000000;238.300000000;312
BBG004730N88;1683572100;238.320000000;238.320000000;238.320000000;238.300000000;1350
BBG004730N88;1683572160;238.320000000;238.340000000;238.340000000;238.300000000;2814
BBG004730N88;1683572220;238.320000000;238.280000000;238.340000000;238.250000000;4748
BBG004730N88;1683572280;238.310000000;238.350000000;238.360000000;238.280000000;1498
BBG004730N88;1683572340;238.330000000;238.220000000;238.340000000;238.220000000;4882
BBG004730N88;1683572400;238.270000000;238.340000000;238.340000000;238.270000000;2712
BBG004730N88;1683572460;238.330000000;238.360000000;238.380000000;238.310000000;4093
BBG004730N88;1683572520;238.350000000;238.340000000;238.370000000;238.320000000;7850
BBG004730N88;1683572580;238.340000000;238.340000000;238.350000000;238.330000000;2530
BBG004730N88;1683572640;238.350000000;238.320000000;238.380000000;238.310000000;5325
BBG004730N88;1683572700;238.350000000;238.480000000;238.480000000;238.340000000;24394
BBG004730N88;1683572760;238.480000000;238.400000000;238.480000000;238.340000000;4277
BBG004730N88;1683572820;238.430000000;238.410000000;238.490000000;238.310000000;9304
BBG004730N88;1683572880;238.410000000;238.390000000;238.480000000;238.330000000;5666
BBG004730N88;1683572940;238.440000000;238.430000000;238.470000000;238.350000000;1872
BBG004730N88;1683573000;238.390000000;238.470000000;238.500000000;238.370000000;12505
BBG004730N88;1683573060;238.420000000;238.490000000;238.500000000;238.410000000;2010
BBG004730N88;1683573120;238.490000000;238.500000000;238.520000000;238.440000000;3242
BBG004730N88;1683573180;238.500000000;238.450000000;238.520000000;238.450000000;2760
BBG004730N88;1683573240;238.470000000;238.510000000;238.550000000;238.460000000;5842
BBG004730N88;1683573300;238.510000000;238.500000000;238.520000000;238.470000000;1693
BBG004730N88;1683573360;238.500000000;238.530000000;238.530000000;238.480000000;1525
BBG004730N88;1683573420;238.530000000;238.500000000;238.540000000;238.500000000;1619
BBG004730N88;1683573480;238.520000000;238.510000000;238.530000000;238.500000000;1725
